% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:50:24 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Horizontal nudge of IMU
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 383 -25 585 2 2 353 -515 -534 -529 0 0 
2 382 -30 586 2 2 352 -516 -534 -529 0 0 
3 379 -25 586 2 2 353 -515 -534 -529 0 0 
4 383 -27 585 2 2 353 -516 -534 -529 0 0 
5 379 -27 584 1 2 354 -516 -534 -530 0 0 
6 380 -25 587 1 2 354 -516 -535 -529 0 0 
7 382 -24 586 1 2 355 -516 -534 -529 0 0 
8 379 -26 585 2 1 355 -516 -535 -530 0 0 
9 379 -31 585 2 2 354 -516 -534 -529 0 0 
10 380 -28 586 2 2 353 -516 -534 -529 0 0 
11 380 -26 585 1 3 354 -516 -534 -529 0 0 
12 379 -28 585 1 3 353 -515 -534 -529 0 0 
13 378 -30 585 1 3 352 -516 -534 -529 0 0 
14 381 -30 585 1 3 353 -516 -534 -530 0 0 
15 378 -33 585 1 2 352 -516 -534 -529 0 0 
16 381 -31 586 1 2 353 -516 -535 -530 0 0 
17 380 -27 585 1 1 353 -516 -535 -529 0 0 
18 378 -28 586 2 0 354 -516 -534 -530 0 0 
19 381 -26 583 2 0 354 -515 -534 -529 0 0 
20 380 -27 586 3 1 354 -515 -534 -530 0 0 
21 378 -27 586 3 2 354 -516 -534 -530 0 0 
22 381 -21 586 3 2 353 -516 -534 -529 0 0 
23 382 -21 586 2 3 353 -515 -534 -529 0 0 
24 382 -20 586 1 3 353 -515 -534 -530 0 0 
25 383 -20 586 0 3 353 -516 -534 -529 0 0 
26 381 -17 587 0 3 352 -515 -535 -530 0 0 
27 379 -18 585 0 2 353 -516 -534 -529 0 0 
28 384 -24 585 1 1 353 -516 -535 -530 0 0 
29 379 -29 586 1 1 354 -516 -535 -530 0 0 
30 384 -31 587 2 1 353 -515 -534 -530 0 0 
31 381 -25 585 2 1 353 -515 -534 -529 0 0 
