Madgwick RMSE Values


BETA   RMSE
0      0.13246 0.26185 0.099638
0.1    0.0058593 0.021921 0.0037201
0.2    0.0048619 0.036647 0.0037509
0.3    0.0051191 0.054692 0.0059653
0.4    0.003843 0.073592 0.0045102
0.5    0.0068826 0.087613 0.0057374
0.6    0.0074301 0.1059 0.0057348
0.7    0.010604 0.12501 0.0093851
0.8    0.0072024 0.14539 0.0096059
0.9    0.0080827 0.15515 0.010837
1      0.0065878 0.17448 0.0076369
1.1    0.011688 0.19362 0.01085
1.2    0.017053 0.20386 0.016281
1.3    0.013196 0.21953 0.012426
1.4    0.01366 0.24012 0.016473
1.5    0.013434 0.24485 0.014982
1.6    0.014484 0.26318 0.01666
1.7    0.020874 0.27974 0.02232
1.8    0.015346 0.28596 0.01667
1.9    0.019294 0.30285 0.020079
2      0.017732 0.31103 0.014758
2.1    0.015745 0.32665 0.01377
2.2    0.017401 0.34436 0.014075
2.3    0.018478 0.3617 0.013712
2.4    0.016857 0.38678 0.012745
2.5    0.019649 0.40759 0.012846

execTime =

   24.9308


With Error:

0      0.14155 0.24808 0.10873
0.1    0.007281 0.021929 0.0055295
0.2    0.0077447 0.03695 0.0063804
0.3    0.0081712 0.054998 0.0067531
0.4    0.0084627 0.0738 0.0070112
0.5    0.0091594 0.08955 0.007656
0.6    0.0089706 0.10643 0.0075394
0.7    0.0093018 0.12568 0.0080099
0.8    0.01003 0.14464 0.0091217
0.9    0.01074 0.15599 0.0098953
1      0.010444 0.17422 0.0099032
1.1    0.011467 0.19382 0.011522
1.2    0.014673 0.20469 0.014581
1.3    0.013016 0.21996 0.013149
1.4    0.015345 0.23879 0.015832
1.5    0.017478 0.2468 0.01739
1.6    0.01609 0.26241 0.016401
1.7    0.019664 0.27679 0.019349
1.8    0.017531 0.28554 0.016839
1.9    0.019353 0.30055 0.018072
2      0.017697 0.31137 0.015694
2.1    0.018719 0.32629 0.015934
2.2    0.018784 0.34406 0.015124
2.3    0.019436 0.36236 0.015036
2.4    0.019599 0.38682 0.014467
2.5    0.020033 0.40733 0.014388

execTime =

   26.5503
